tiempo,posicion,velocidad,aceleracion
0.0,100.2483570765056,0.8456977809751326,-9.888421630626432
0.4,99.09812331263832,-4.232065824333054,-9.808977308671508
0.5,98.6566815215254,-5.446537600244767,-9.85691742667503
0.6000000000000001,99.0238064077537,-5.396658968927307,-10.093074148410084
0.7000000000000001,97.98026736457643,-6.04220038200324,-9.894129064553072
1.0,94.86329115359376,-10.057369900680971,-9.842257142333205
1.1,93.83208512321488,-10.525989254877151,-9.729189828637091
1.1013071427542824,93.83208512321488,-10.525989254877151,-9.729189828637091
1.2000000000000002,93.05778113578302,-10.991563898302116,-9.432762819757894
1.4,89.52374108374349,-13.882527181331056,-9.758489921855448
1.5,88.68260623537952,-15.600067979204823,-9.824889183153234
1.6,86.93678443983278,-16.652965299264537,-10.193754243059807
1.9,81.58679814933234,-18.69660809726427,-9.317351577502944
2.1,78.25606184975673,-20.31169117996189,-9.749690531533275
2.2,76.29356410234396,-22.098095803684103,-9.81694235394105
2.3000000000000003,73.34017590689326,-22.273883515593276,-10.043735607523908
2.5,69.39921129485494,-24.553660831287964,-9.659613393462646
2.5012669111491865,69.39921129485494,-24.553660831287964,-9.659613393462646
2.6,66.26670321128884,-24.2542850753488,-9.65179361059139
2.7,64.43039900917283,-28.5827960832718,-9.991877490958949
2.8000000000000003,61.24448065504058,-26.810477996499824,-9.52944113781278
3.1,53.78908909225446,-30.3375913787716,-9.371908874838004
3.2,49.76605138763102,-32.98205513168072,-10.00810726502614
3.3000000000000003,46.05569453552204,-32.548737510270016,-9.923259545920557
3.5,39.30332817501449,-33.15268476420679,-9.91069513082324
3.6,36.53563179750237,-35.73061617461892,-10.120132686213228
3.7,31.870714938060097,-36.94379488231456,-9.796287405038797
3.8,28.50770697555077,-37.67940563486764,-10.02246074274522
3.9,25.49338061793454,-37.526678305838345,-9.715281513872965
4.0,21.8892332899977,-38.97699911227225,-9.99388484684676
4.1000000000000005,17.632634140594952,-40.64480816301364,-9.500013118996492
4.2,13.417975858805873,-40.79138605350932,-9.966650658467248
4.3,9.155998152205356,-42.10533796052157,-9.874412303241137
4.4,4.299939004816266,-42.3890840075737,-9.647296556526069
4.5,0.313827895802644,-44.70664247510189,-10.056172863286791
4.6000000000000005,-4.020119385479922,-45.38812971727822,-9.764508013079174
